Topic ID;Topic words
0;spørsmål,skrive,vente,glad,menneske,dårlig,blive,kommune,ute,høy,hjelpe,spørre,sterk,bilde,dra,slå,riktig,starte,måte,usa
1;sake,vær,måte,kjøre,gire,sterk,morgen,starte,handle,bilde,skrive,menneske,tur,velkommen,kamp,vente,synse,politi,synge,riktig
2;penger,kjøre,høy,politi,starte,familie,ute,hete,håpe,glad,sende,spise,morgen,leng,handle,lære,vær,mat,vid,sterk
3;spørsmål,kjøre,vid,vente,riktig,starte,glad,sake,skrive,måte,menneske,bilde,synse,høy,leng,sterk,velge,fortelle,handle,dårlig
4;russerne,russernes,russisk,russiske,russetiden,rusavhengige,russetida,russlands,russen,russland,russere,russeren,russ,rus,ukrainas,ukraina,ukrainske,wikileaks,nordkoreas,rusk,sovjetunionen,jugoslavia,syriske,nordkorea,norskekysten,syrisk,hviterussland,nazistene,nordkoreanske,rusen,norwegian,sibirske,slovakia,korrupsjon,fuck,sannsynligvis,skandinavisk,nordkoreansk,nordjæren,takke,nordnorsk,skandinavia,antakeligvis,nordiske,diplomatiske,forhapentligvis,nisselov,erdogans,usannsynlig,takk
5;regjeringsparti,politikerne,parlamentariske,politikere,parlamentet,parlamentarisk,politisk,politisak,politiker,politikk,politiske,regjeringens,politikken,demokratene,demokrati,demokratenes,valgkampen,avstemningen,politidistrikt,demokratiet,populisme,demokrater,folkeavstemning,politireformen,demokratiske,justisminister,avstemning,folkevalgte,tverrpolitisk,regjeringen,demokratisk,populistisk,presidentvalg,regjeringer,oooooh,votten,votering,toppolitikere,fuck,regjerings,kommunestyret,brexit,politikammer,finansminister,liberale,hahaha,brexitavtale,fatah,takk,statsministeren
6;politiets,politimannen,politiet,politireformen,politimann,politifolk,arrestere,demonstranter,demonstrantene,arrestert,politidistrikt,politikken,tverrpolitisk,dødsstraffen,politisk,politikk,lokalpolitiker,forbrytelser,politikerne,kriminalitet,politiske,dødsstraff,politisak,politikere,tragedie,politikammer,kriminelle,politihuset,husarrest,finanspolitisk,politiker,tragedien,strafferabatt,fengselsstraff,sørgelig,kriminell,trafikkulykke,what,fuck,voldelige,kriminelt,politidir,takke,sikkerhetsradet,forklarer,whats,politi,forklare,terrorisme,straffespark
7;ungdomsskole,ungdomsskolen,barneskolen,fagskole,barneskole,folkehøyskolen,skolebenken,skoleelever,skolevei,fuck,skolebyrad,oooooh,grunnskolen,klasserom,elever,barnefattigdom,skoler,klasserommet,skolegarden,fagskolen,studentene,uff,lærerne,hahaha,fatah,whats,nff,skolene,yeah,dessverre,what,yes,skolefri,ungdommens,definitivt,nesa,skole,ooo,takke,antakeligvis,studentboliger,studenter,sørgelig,haha,forhapentligvis,virkelig,barnefamilier,ungdommene,trist,takknemlig
