Topic ID;Topic words
0;syriske,syrisk,erdogans,siri,erdogan,kurdiske,tyrkere,islamistiske,kurdisk,afghanske,irakiske,taliban,tyrkerne,migranter,migrantene,kurdernes,istanbul,tyrkiske,kurderne,gaddafi,flyktningene,tyrkisk,asylsøkere,sibirske,saudiarabias,afghanistan,muslimer,iranske,irans,borgerkrig,muslimske,saudiarabia,muslimsk,terrorisme,iransk,saudiske,terrorangrepene,islam,asylmottak,ukrainas,saudiarabiske,slovakia,libya,krigens,armene,iran,muslim,flyktningleir,kurdere,flyktninger
1;oooooh,hahaha,haha,ooo,takke,oh,uff,nff,ooh,takk,aha,takknemlig,hua,eh,ah,fatah,takker,what,whats,fhi,fuck,antakeligvis,hm,nesa,hval,hekk,huff,oi,thank,co,forhapentligvis,mmm,yeah,uskadd,takvam,hehe,velte,kjempeartig,kah,wow,nemnd,yes,sannsynligvis,aaa,bukk,haba,huk,khashoggi,ne,neppe
2;politi,håpe,riktig,velkommen,glad,skrive,gire,hete,spise,mat,bilde,starte,glede,vid,sake,morgen,føle,bygge,vær,tur
3;russerne,russernes,russisk,russiske,russetiden,rusavhengige,russetida,russlands,russen,russland,russere,russeren,russ,rus,ukrainas,ukraina,ukrainske,wikileaks,nordkoreas,rusk,sovjetunionen,jugoslavia,syriske,nordkorea,norskekysten,syrisk,hviterussland,nazistene,nordkoreanske,rusen,norwegian,sibirske,slovakia,korrupsjon,fuck,sannsynligvis,skandinavisk,nordkoreansk,nordjæren,takke,nordnorsk,skandinavia,antakeligvis,nordiske,diplomatiske,forhapentligvis,nisselov,erdogans,usannsynlig,takk
4;ute,håpe,spørsmål,mål,vær,gire,høy,lære,bilde,blive,skrive,starte,dårlig,slå,hjem,spise,hjelpe,sende,problem,velkommen
5;leng,kjøre,måte,bilde,dra,vente,slå,blive,gire,kvinne,vær,skrive,sikker,høy,sende,velkommen,sake,hjelpe,tidlig,sterk
