Topic ID;Topic words
0;høy,velkommen,menneske,kvinne,tur,dårlig,sake,måte,vær,ute,glad,vid,hjem,leng,hus,spørsmål,bilde,egentlig,mål,politi
1;morgen,spørsmål,mat,glad,menneske,leng,ute,sterk,vær,bilde,politi,pappa,hjem,måte,grei,kommune,vond,mål,velkommen,høy
2;spørsmål,sake,riktig,vær,høy,menneske,vid,leng,skole,sterk,velkommen,dyr,kvinne,svar,problem,glad,tidlig,bilde,morgen,dårlig
3;riktig,problem,sterk,leng,ute,glad,penger,politi,velkommen,høy,spørsmål,bilde,regjering,hjem,dårlig,område,vær,vid,vond,oslo
4;ute,glad,høy,velkommen,måte,tur,familie,sikker,bilde,sterk,hus,dårlig,mat,tidlig,vær,leng,spesiell,morgen,oft,dyr
5;politi,riktig,vond,måte,dårlig,tidlig,spørsmål,leng,vær,vid,jente,bilde,menneske,dyr,penger,parti,velkommen,kvinne,gøy,regjering
6;sake,morgen,måte,usa,politi,problem,vid,vær,mål,regjering,situasjon,velkommen,tur,høy,kvinne,spørsmål,nyte,sterk,leng,president
7;bilde,glad,oslo,sterk,familie,ute,skole,dyr,leng,sake,hus,morgen,spesiell,vær,by,måte,velkommen,vond,tidlig,usa
