Topic ID;Topic words
0;folk,tror,norge,vet,takk,kveld,barn,bedre,land,møte,gir,trenger,håper,velkommen,usa,hei,vanskelig,landet,trump,ønsker
1;folk,vet,tror,takk,norge,hei,bedre,velkommen,verden,kveld,trenger,livet,håper,morgen,barn,bruker,politiet,tenker,vanskelig,tusen
2;vet,folk,norge,tror,takk,bedre,barn,syns,vanskelig,politiet,stå,gode,riktig,kveld,morgen,spørsmål,glad,ute,hei,gir
3;tror,folk,takk,vet,norge,trenger,bruker,hei,barn,ute,morgen,riktig,mat,velkommen,bedre,oslo,ønsker,livet,gir,fort
4;folk,norge,vet,takk,tror,trenger,bedre,hei,gir,vanskelig,barn,velkommen,dagen,bruker,mat,ute,syns,håper,kveld,glad
5;folk,tror,norge,takk,vet,riktig,barn,kveld,regn,oslo,gir,hei,ute,trenger,spørsmål,vanskelig,tenker,morgen,usa,livet
6;norge,vet,tror,folk,takk,gir,bedre,trenger,dagen,ute,barn,glad,livet,velkommen,kveld,ønsker,politiet,oslo,syns,hei
7;vet,folk,tror,takk,norge,hei,kveld,barn,bedre,velkommen,ute,trenger,riktig,heter,syns,morgen,vanskelig,politiet,gir,lage
