Topic ID;Topic words
0;kjøre,vente,skrive,gire,spørsmål,oslo,menneske,hjelpe,vond,penger,sikker,høy,starte,ute,hete,nyte,synse,kvinne,velkommen,hus
1;leng,vær,politi,skrive,kjøre,slå,føle,morgen,håpe,lære,velkommen,glad,hete,riktig,sake,ute,venn,glede,skjønne,vid
2;leng,vær,bilde,håpe,glad,spise,handle,politi,velkommen,måte,tidlig,sterk,høy,spørsmål,mål,skrive,gire,vente,bygge,stemme
3;håpe,hjelpe,handle,morgen,høy,dårlig,gire,sake,starte,dyr,reise,glad,dra,måte,velkommen,politi,vente,sende,sterk,bilde
4;sake,dyr,riktig,bilde,dra,problem,kvinne,regjering,dårlig,kjøre,spørsmål,føle,vid,høy,familie,jente,skrive,spesiell,menneske,spise
5;spørsmål,riktig,tur,starte,poeng,bygge,glad,by,sterk,bilde,vær,lære,håpe,høy,skrive,skole,snø,blive,tidlig,nyte
