Topic ID;Topic words
0;er,,-,i,og,det,å,som,på,har,Det,for,en,med,til,ikke,at,vi,du,av
1;,-,er,i,det,og,å,på,har,Det,for,en,ikke,som,med,de,til,av,jeg,at
2;,er,-,i,har,som,og,på,det,å,Det,ikke,til,en,at,vi,med,du,for,jeg
3;er,,det,i,-,på,og,Det,har,å,en,til,ikke,du,at,med,som,for,vi,Jeg
4;er,,i,det,-,Det,på,å,og,en,har,ikke,som,til,at,med,for,du,Jeg,jeg
5;,er,det,i,-,har,og,på,Det,å,en,for,som,ikke,med,til,at,jeg,du,vi
6;,er,det,og,i,på,til,Det,har,-,en,for,med,som,ikke,at,vi,å,jeg,av
7;,er,og,på,-,det,å,i,har,Det,med,en,til,ikke,du,som,for,vi,at,jeg
