Topic ID;Topic words
0;vite,stå,tenke,tro,folk,norge,takk,mene,lage,møte,sitte,hel,snakke,prøve,barn,land,kjenne,ute,jobbe,spørsmål
1;stå,vite,tro,takk,folk,norge,tenke,mene,møte,sitte,lage,jobbe,kveld,land,ønske,hel,ligge,hei,høre,trenge
2;tro,vite,folk,stå,norge,prøve,takk,møte,mene,snakke,tenke,lage,høre,ligge,hel,mann,ønske,sitte,gammel,jobbe
3;tro,vite,folk,stå,norge,land,snakke,møte,tenke,sitte,jobbe,hel,mene,ligge,prøve,barn,lage,høre,spille,ønske
4;vite,stå,folk,tro,tenke,takk,barn,sitte,hel,prøve,liv,lage,mene,møte,snakke,norge,kjenne,land,høre,spørsmål
5;vite,tro,stå,folk,tenke,møte,hel,snakke,ligge,prøve,sitte,høre,takk,norge,liv,gammel,lage,barn,mene,jobbe
6;folk,stå,tenke,vite,norge,møte,tro,barn,hel,liv,mene,kveld,høre,sitte,gammel,lage,land,jobb,vei,jobbe
7;folk,vite,stå,tro,norge,mene,lage,tenke,snakke,hel,barn,jobbe,høre,takk,møte,prøve,liv,sitte,kveld,uke
