Topic ID;Topic words
0;politi,oslo,morgen,mat,hus,måte,menneske,bilde,spørsmål,sake,dyr,vær,problem,jobb,natt,person,gåre,valg,familie,usa
1;spørsmål,mål,kvinne,tur,sake,svar,problem,bilde,menneske,jobb,poeng,politi,kamp,familie,hus,verden,nrk,morgen,jente,usa
2;kvinne,spørsmål,menneske,jobb,problem,sake,regjering,penger,familie,ord,bilde,usa,mat,trump,verden,gud,måte,situasjon,bile,mål
3;sake,jobb,morgen,jul,hei,ord,måte,politi,menneske,familie,tur,penger,bilde,snø,regn,kommune,usa,time,mat,hus
4;måte,jobb,bilde,skole,spørsmål,hei,sake,politi,jente,tur,problem,kamp,familie,morgen,menneske,kommune,penger,ganger,by,område
5;bilde,jobb,usa,morgen,oslo,mål,spørsmål,by,kamp,skole,poeng,hei,time,ord,president,tur,mamma,problem,sake,område
6;jobb,morgen,politi,måte,spørsmål,tur,familie,verden,kvinne,menneske,hei,oslo,penger,sake,bilde,mat,poeng,svar,historie,gutt
7;hus,vær,hei,familie,snø,måte,menneske,mål,penger,politi,sake,mat,oslo,kvinne,verden,pappa,jobb,bilde,tur,morgen
