Topic ID;Topic words
0;det,i,er,og,har,på,til,Det,en,å,du,som,ikke,vi,med,at,for,jeg,Jeg,om
1;er,det,på,i,og,å,Det,som,har,ikke,med,en,du,jeg,at,til,for,om,Vi,var
2;er,det,på,i,og,har,Det,for,å,som,at,med,til,ikke,jeg,vi,Jeg,om,en,skal
3;er,i,det,og,på,å,Det,har,til,at,en,med,du,for,ikke,Jeg,Vi,jeg,som,av
4;er,det,i,og,Det,har,på,en,ikke,å,som,med,for,til,vi,Jeg,var,av,at,jeg
5;er,det,i,på,har,og,Det,å,vi,at,til,en,for,ikke,med,som,jeg,du,av,om
6;er,det,i,på,Det,å,til,og,har,du,en,som,jeg,med,ikke,for,av,var,Jeg,at
7;det,er,i,på,og,Det,har,å,til,med,som,at,en,vi,for,ikke,av,Jeg,jeg,Vi
