Pipeline,dataset_size,vocab_size,total_tokens,avg_token_freq,avg_token_per_doc,avg_stopwords_per_doc
basic,999,81649,604211,7.400102879398401,604.8158158158158,0.0
lemmatized,999,64426,610326,9.473287182193525,610.936936936937,0.0
lem_tfidf,999,17784,498286,28.018780926675664,498.7847847847848,0.0
pos_only_noun,999,13753,288623,20.986184832400202,288.9119119119119,0.0
pos_verb,999,16296,395655,24.279270986745214,396.05105105105105,0.0
raw,999,95757,1777144,18.55889386676692,1778.922922922923,971.926926926927
unprocessed,999,149975,1825168,12.169814969161527,1826.994994994995,880.986986986987
