File name;Number;Metadata
MSUB02002516AA-TTV.csv;1;Supernytt
MSUB02002516AA-TTV.csv;2;Navn: MSUB02002516AA
MSUB02002516AA-TTV.csv;3;Type: TTV
MSUB02002516AA-TTV.csv;4;Oppsett: 0
MSUB02002516AA-TTV.csv;5;Variant: BOK
MSUB02002516AA-TTV.csv;6;MSUB-020025-16AA
MSUB02002516AA-TTV.csv;7;13:29:24– 13:37:46 0.08'22
MSUS21100618AA-TTV.csv;0;{\an7}MSUS21100618AA TTV 51t
MSUS21100618AA-TTV.csv;1;Fantorangen: Sangkassa 6:30
MSUS21100618AA-TTV.csv;2;Navn: MSUS21100618AA
MSUS21100618AA-TTV.csv;3;Type: TTV
MSUS21100618AA-TTV.csv;4;Oppsett: 0
MSUS21100618AA-TTV.csv;5;Variant: BOK
MSUS21100618AA-TTV.csv;6;MSUS21100618AA
MSUS21100618AA-TTV.csv;7;00:00:00:00 - 00:04:24:08  4'24''
MSUS21100618AA-TTV.csv;8;26.01.19
MSUS21100618AA-TTV.csv;9;fbb
DKOS99121818AA-TTV.csv;0;{\an7}DKOS-991218-18AA t-tv 87 t
DKOS99121818AA-TTV.csv;1;Distriktsnyheter Østfold
DKOS99121818AA-TTV.csv;2;Navn: DKOS99121818AA
DKOS99121818AA-TTV.csv;3;Type: TTV
DKOS99121818AA-TTV.csv;4;Oppsett: 5
DKOS99121818AA-TTV.csv;5;Variant: BOK
DKOS99121818AA-TTV.csv;6;DKOS-991218-18AA
DKOS99121818AA-TTV.csv;7;08:24:53– 08:33:50 0.08'57
MUHU16000416AA-TTV.csv;0;{\an7}MUHU-160004-16AA t–tv 612 t
MUHU16000416AA-TTV.csv;1;Lindmo
MUHU16000416AA-TTV.csv;2;Navn: MUHU16000416AA
MUHU16000416AA-TTV.csv;3;Type: TTV
MUHU16000416AA-TTV.csv;4;Oppsett: 0
MUHU16000416AA-TTV.csv;5;Variant: BOK
MUHU16000416AA-TTV.csv;6;MUHU-160004-16AA
MUHU16000416AA-TTV.csv;7;21:35:29– 22:34:15 0.58'46
DKMR99021819AA-TTV.csv;0;{\an7}DKMR-990218-19AA t-tv 88 t
DKMR99021819AA-TTV.csv;1;Distriktsnyheter Møre og Romsdal
DKMR99021819AA-TTV.csv;2;Navn: DKMR99021819AA
DKMR99021819AA-TTV.csv;3;Type: TTV
DKMR99021819AA-TTV.csv;4;Oppsett: 5
DKMR99021819AA-TTV.csv;5;Variant: BOK
DKMR99021819AA-TTV.csv;6;DKMR-990218-19AA
DKMR99021819AA-TTV.csv;7;09:04:18– 09:12:56 0.08'38
MSUB20000513AA-TTV.csv;0;{\an7}MSUB 200005/13 A t-tv    259 t
MSUB20000513AA-TTV.csv;1;Fin fredag ep. 5 - Jørn Lier Horst
MSUB20000513AA-TTV.csv;2;Navn: MSUB20000513AA
MSUB20000513AA-TTV.csv;3;Type: TTV
MSUB20000513AA-TTV.csv;4;Oppsett: 0
MSUB20000513AA-TTV.csv;5;MSUB20000513AA
MSUB20000513AA-TTV.csv;6;00:00:00-00:24:11
MSUB20000513AA-TTV.csv;7;21.03.13
MSUB20000513AA-TTV.csv;8;mol
DKOA99102318AA-TTV.csv;0;{\an7}DKOA-991023-18AA t-tv 95 t
DKOA99102318AA-TTV.csv;1;Distriktsnyheter Østlandssendingen
DKOA99102318AA-TTV.csv;2;Navn: DKOA99102318AA
DKOA99102318AA-TTV.csv;3;Type: TTV
DKOA99102318AA-TTV.csv;4;Oppsett: 5
DKOA99102318AA-TTV.csv;5;Variant: BOK
DKOA99102318AA-TTV.csv;6;DKOA-991023-18AA
DKOA99102318AA-TTV.csv;7;08:16:34– 08:25:31 0.08'57
NNFA58041010AA-TTV.csv;0;{\an7}NNFA 580410/10 A  t-tv  269 t
NNFA58041010AA-TTV.csv;1;Viggo på lørdag 9:50
NNFA58041010AA-TTV.csv;2;Navn: NNFA58041010AA
NNFA58041010AA-TTV.csv;3;Type: TTV
NNFA58041010AA-TTV.csv;4;Oppsett: 0
NNFA58041010AA-TTV.csv;5;Variant: BOK
NNFA58041010AA-TTV.csv;6;Vb nr.
NNFA58041010AA-TTV.csv;7;00:00:00-00:28:53    28'53
MYNR50009515AA-TTV.csv;0;{\an7}MYNR-500095-15AA t-tv 284 t
MYNR50009515AA-TTV.csv;1;P3morgen
MYNR50009515AA-TTV.csv;2;Navn: MYNR50009515AA
MYNR50009515AA-TTV.csv;3;Type: TTV
MYNR50009515AA-TTV.csv;4;Oppsett: 0
MYNR50009515AA-TTV.csv;5;Variant: BOK
MYNR50009515AA-TTV.csv;6;MYNR-500095-15AA
MYNR50009515AA-TTV.csv;7;16:08:06- 16:37:05 0.28'59
FUHA16000601AA-TTV.csv;0;{\an7}FUHA 160006/01 A  t-tv  247 t
FUHA16000601AA-TTV.csv;1;ØYSTEIN OG MEG 6:8
FUHA16000601AA-TTV.csv;2;Navn: FUHA16000601AA
FUHA16000601AA-TTV.csv;3;Type: TTV
FUHA16000601AA-TTV.csv;4;Oppsett: 0
FUHA16000601AA-TTV.csv;5;Variant: BOK
FUHA16000601AA-TTV.csv;6;09:59:36-10:28:55  29'18''
FUHA16000601AA-TTV.csv;7;25.10.2001
FUHA16000601AA-TTV.csv;8;akr, korr. efr
FUHA16000601AA-TTV.csv;9;**
DVNA20000911AA-TTV.csv;0;{\an7}DVNA 200009/11 A    t-tv   417 t
DVNA20000911AA-TTV.csv;1;Ut i naturen: Min ungdoms vår
DVNA20000911AA-TTV.csv;2;Navn: DVNA20000911AA
DVNA20000911AA-TTV.csv;3;Type: TTV
DVNA20000911AA-TTV.csv;4;Oppsett: 0
DVNA20000911AA-TTV.csv;5;Variant: BOK
DVNA20000911AA-TTV.csv;6;wmv
DVNA20000911AA-TTV.csv;7;58'59''
DVNA20000911AA-TTV.csv;8;19.01.12
DVNA20000911AA-TTV.csv;9;akr / korr: wlo
NNFA85090617AH-TTV.csv;0;{\an7}NNFA-850906-17AH t-tv 205 t
NNFA85090617AH-TTV.csv;1;Valg 2017 Politisk valgkvarter
NNFA85090617AH-TTV.csv;2;Navn: NNFA85090617AH
NNFA85090617AH-TTV.csv;3;Type: TTV
NNFA85090617AH-TTV.csv;4;Oppsett: 0
NNFA85090617AH-TTV.csv;5;Variant: BOK
NNFA85090617AH-TTV.csv;6;NNFA-850906-17AH
NNFA85090617AH-TTV.csv;7;07:40:00– 07:59:57 0.19'57
NNFA19112918AH-TTV.csv;0;{\an7}NNFA-191129-18AH t-tv 365 t
NNFA19112918AH-TTV.csv;1;Dagsrevyen
NNFA19112918AH-TTV.csv;2;Navn: NNFA19112918AH
NNFA19112918AH-TTV.csv;3;Type: TTV
NNFA19112918AH-TTV.csv;4;Oppsett: 5
NNFA19112918AH-TTV.csv;5;Variant: BOK
NNFA19112918AH-TTV.csv;6;NNFA-191129-18AH
NNFA19112918AH-TTV.csv;7;18:59:50– 19:43:40 0.43'50
MSUS01002113AA-TTV.csv;0;{\an7}MSUS 010021/13 A    t-tv   185 t
