Topic ID;Topic words
0;oooooh,hahaha,haha,hahahe,ooh,ooo,oh,uff,mmm,aha,fhi,hm,beha,eh,huff,aaa,hekk,ah,nff,hugo,fuck,oi,huk,hval,hey,hehe,heie,hve,bukk,hi,kah,whats,what,fatah,hu,wow,hap,bue,fk,velte,niss,takke,co,kash,kua,hore,kul,ann,saudi,gansk
1;skattepolitikk,fuck,fylkespolitiker,politireforme,oooooh,storpolitikk,politikk,politisk,uff,hahaha,nff,politidistrikt,takke,fatah,lokalpolitikk,tverrpolitisk,politiets,politisak,regjeringsparti,takknemlig,haha,ooo,what,whats,politiker,oh,dessverre,politistasjon,kjempeartig,beklagelig,skau,sørgelig,regjeringens,aha,fhi,huff,uheldig,ooh,sørlig,mmm,nemnd,boikotte,wow,bukk,yeah,beha,co,politikammer,ne,eh
2;flekkefjord,hjeltefjorden,oooooh,nordfjord,takke,snø,fjellvegg,oslofjorden,ooo,takknemlig,vintervær,hahaha,haha,nff,oh,uff,ooh,snørr,tysfjord,vestfjorden,antakeligvis,aha,thank,isbjørn,norskekyste,ah,eh,forhapentligvis,what,fatah,fjellside,fhi,kjempeartig,hahahe,whats,vinterferie,co,nemnd,hekk,hm,hval,takvam,uskadd,fjellomrade,sannsynligvis,yeah,beha,wow,mmm,feigenwinter
3;fotballag,gullmedalje,fotballkamp,fotball,fotballe,fotballvm,verdenscup,sølvmedalje,fotballbane,bronsemedalje,handball,fotballklubb,handballspiller,fotballspiller,cupfinale,oooooh,takknemlig,takke,hahaha,antakeligvis,forhapentligvis,ooo,haha,fatah,matchball,yeah,oh,kjempeartig,hahahe,definitivt,argentina,yes,nff,thank,hval,whats,what,selvfølgelig,mmm,uff,sannsynligvis,uskadd,ooh,aha,hm,naturligvis,selvfølge,eh,tispe,selvsagt
4;russernes,russisk,russlands,rusavhengig,russland,russetid,sovjetisk,russ,ukrainas,russer,rus,ukraina,ukrainsk,rusk,jugoslavia,wikileaks,sovjetunionen,ruse,syrisk,hviterussland,slovakia,ukrainer,fuck,norskekyste,polsk,nordkoreas,sannsynligvis,bekkjarvik,skandinavisk,antakeligvis,forhapentligvis,oooooh,erdogans,usannsynlig,finsk,skandinavia,nordkorea,krigshandling,takke,erdogan,storbritannias,hahaha,sikker,whats,garantere,credo,oksygenopptak,takknemlig,fullstendig,rusmisbruker
5;syrisk,erdogans,syrer,erdogan,siri,irakisk,kurdisk,islamistisk,flyktningkrise,islamsk,krigshandling,islamist,istanbul,taliban,bombing,kurdernes,gaddafi,terrorhandling,tyrkisk,kurder,irans,iraner,iransk,saudiarabias,bombegruppe,borgerkrig,terrorisme,saudiarabisk,saudiarabia,saudisk,tyrker,afghansk,afghaner,krigens,iran,islam,terrorgruppe,wars,war,afghanistan,muslimsk,ukrainas,bombe,slovakia,fuck,libya,wikileaks,terrorist,pakistaner,lufte
6;fiskebat,fiskekake,fisketur,fiskar,fiske,fiskestang,fiskevær,fisker,fisk,fiskeri,yrkesfisker,fiskeørn,akvarium,fiskeoppdrett,delfin,fiskeriminister,nordsjøen,oooooh,lake,ooo,takke,dyrehistorie,ooh,naturfag,uff,fhi,oh,whats,nff,fauna,takknemlig,antakeligvis,haha,what,hahaha,fuck,snorkel,fuglesang,forhapentligvis,punsjbolle,aha,yeah,yes,nordnorge,eh,fatah,papegøye,hahahe,mmm,ah
