Topic ID;Topic words
0;oooooh,pappa,faren,fader,hi,hallo,fortelle,pappaen,ooo,hei,onkel,ooh,hahaha,aaa,hey,oi,fortell,pr,sundag,heie,oh,ca,hua,kyi,haha,eh,ha,dap,foreldremøte,pappas,aha,ettermiddag,gutta,bukk,ola,pagikk,holme,halla,holm,mmm,vm,hugo,dere,kors,fc,hm,nff,evne,skattesystemet,sjalottløk
1;politikerne,regjeringsparti,politikere,politiker,parlamentet,norskekysten,politisak,norwegian,politisk,politikk,parlamentariske,politikken,nordfjord,parlamentarisk,nordnorske,nordlandsbanen,nordjæren,nordnorsk,politiske,presidentvalg,brexit,regjeringens,norske,norsk,brexitavtale,politidistrikt,nordtrøndelag,valgkampen,nordiske,demokratene,nordligste,nordirland,presidentvalget,norfund,demokratenes,folkevalgte,regjeringen,nordpolen,demokrati,nordland,politireformen,nordavind,politikammer,demokratiet,nordisk,nordvestlandet,demokrater,klimapolitikk,nordsjøen,nordens
2;fjellveggen,nordnorge,nordlandsbanen,nordfjord,nordsjøen,snøgrense,nordvestlandet,fjellreven,dovrefjell,nordtrøndelag,fjellene,fjelltur,verdenstoppen,fjells,sjalottløk,nordpolen,flekkefjord,fjell,nordkapp,skattesystemet,nordnorske,arktis,denne,nordnorsk,norskekysten,bergen,kjos,nordmøre,fjellheimen,nordpa,dette,nordavind,oslofjorden,nordover,oooooh,fjellet,nordlys,nordvestlig,skogbrannfare,atlasfjellene,bergens,nordligste,no,alpinist,co,nesa,berget,nordjæren,nordland,nrkno
3;katastrofe,ettermiddag,skoledag,folkehøyskolen,trafikkulykke,morgen,kjempeartig,tragedie,fagskole,nordtrøndelag,nordlandsbanen,nistepakke,morgendagen,skolebenken,fredagskveld,tragedien,nordvestlig,onsdag,sundag,skolevei,jordskred,nordvestlandet,tsunami,no,mandagskveld,nordnorge,ettermiddagen,non,torsdag,ødeleggelser,takke,pandamandag,fagskolen,klimapolitikken,nesa,morgendagens,today,høgskolen,ne,klimapolitikk,nasjonaldag,forurenser,fredag,ødeleggelsene,tirsdag,morgon,takknemlig,nordfjord,takk,nordvest
4;politiets,politiet,politimannen,politimann,politifolk,politireformen,arrestert,arrestere,politidistrikt,politikken,kriminalitet,kriminelle,tverrpolitisk,lokalpolitiker,politikk,kriminell,politihuset,politisak,demonstranter,førstebetjent,politisk,politikerne,forbrytelser,demonstrantene,politikere,kriminelt,politiske,politiker,sikkerhetsradet,politikammer,finanspolitisk,dødsstraffen,strafferabatt,fengselsstraff,ettermiddag,tragedie,husarrest,dødsstraff,trafikkulykke,politidir,criminal,fredagskveld,sikkerhetsrad,politi,tragedien,terrorisme,straffespark,mandagskveld,wikileaks,voldelige
5;ettermiddag,morgendagen,nasjonaldag,ettermiddagen,morgen,sundag,onsdag,mandagskveld,vardag,today,mandag,formiddag,torsdag,morgon,skoledag,fredagskveld,lørdagsrevyen,pandamandag,tirsdag,sommardag,julen,friday,dag,eilert,lørdag,dagens,morgendagens,søndag,sotra,julekalender,bursdag,mandagen,dagene,day,julenissen,fredag,søndagsrevyen,formiddagen,arbeidsdag,morning,rigget,bursdagen,førkveld,jul,dagen,marte,søndagens,tonight,søndagsklær,juletre
6;cupfinalen,norwegian,norskekysten,norske,norsk,vmfinale,nordjæren,nordiske,fotballag,fotballkamp,nordnorske,fotball,fotballen,nordfjord,nordnorsk,fotballbanen,handball,attedelsfinale,verdenscupen,fotballspiller,nordisk,norfund,nordlandsbanen,kvartfinalen,fotballspillere,fotballvm,nordkoreanske,nordirland,vintersport,nordkoreansk,nasjonaldag,nordafrika,nordkorea,nordkoreas,skandinavisk,nordland,nasjonalsangen,nordligste,nationale,kvartfinale,nordtrøndelag,nordavind,olympiske,argentina,vinnerlaget,nordpolen,nasjonal,svenske,skandinavia,nasjonalt
7;russerne,russernes,russisk,russiske,rusavhengige,russetiden,russetida,russen,russlands,russland,russere,russeren,russ,rus,ukrainas,ukraina,ukrainske,sovjetunionen,nordkoreas,nordkorea,wikileaks,nordkoreanske,norskekysten,norske,nordkoreansk,norsk,rusk,norwegian,fredsavtalen,diplomatiske,nordnorsk,jugoslavia,nordjæren,nordnorske,brexitavtale,hviterussland,presidentvalg,nordiske,nordafrika,fredsavtale,venezuelas,venezuela,bolsonaro,nordisk,kommunismen,ambassaden,nazistene,rusen,nordpolen,sørkoreas
8;syriske,syrisk,erdogans,erdogan,siri,tyrkere,istanbul,tyrkiske,tyrkisk,islamistiske,kurdiske,tyrkerne,iranske,kurdisk,irans,taliban,irakiske,iransk,gaddafi,sibirske,iran,asylsøkere,afghanske,kurdernes,kurderne,saudiarabias,migranter,muslimer,migrantene,muslimske,saudiske,muslimsk,islam,saudiarabia,slovakia,ukrainas,flyktningene,afghanistan,asylmottak,saudiarabiske,borgerkrig,ukrainske,muslim,krigens,kurdere,pakistan,ukraina,libya,nordkoreas,verdenskrig
