Topic ID;Topic words
0;oooooh,hahaha,haha,ooo,takke,oh,uff,nff,ooh,takk,aha,takknemlig,hua,eh,ah,fatah,takker,what,whats,fhi,fuck,antakeligvis,hm,nesa,hval,hekk,huff,oi,thank,co,forhapentligvis,mmm,yeah,uskadd,takvam,hehe,velte,kjempeartig,kah,wow,nemnd,yes,sannsynligvis,aaa,bukk,haba,huk,khashoggi,ne,neppe
1;politiets,politimannen,politiet,politireformen,politimann,politifolk,arrestere,demonstranter,demonstrantene,arrestert,politidistrikt,politikken,tverrpolitisk,dødsstraffen,politisk,politikk,lokalpolitiker,forbrytelser,politikerne,kriminalitet,politiske,dødsstraff,politisak,politikere,tragedie,politikammer,kriminelle,politihuset,husarrest,finanspolitisk,politiker,tragedien,strafferabatt,fengselsstraff,sørgelig,kriminell,trafikkulykke,what,fuck,voldelige,kriminelt,politidir,takke,sikkerhetsradet,forklarer,whats,politi,forklare,terrorisme,straffespark
2;regjeringsparti,politikerne,parlamentariske,politikere,parlamentet,parlamentarisk,politisk,politisak,politiker,politikk,politiske,regjeringens,politikken,demokratene,demokrati,demokratenes,valgkampen,avstemningen,politidistrikt,demokratiet,populisme,demokrater,folkeavstemning,politireformen,demokratiske,justisminister,avstemning,folkevalgte,tverrpolitisk,regjeringen,demokratisk,populistisk,presidentvalg,regjeringer,oooooh,votten,votering,toppolitikere,fuck,regjerings,kommunestyret,brexit,politikammer,finansminister,liberale,hahaha,brexitavtale,fatah,takk,statsministeren
3;ungdomsskole,ungdomsskolen,barneskolen,fagskole,barneskole,folkehøyskolen,skolebenken,skoleelever,skolevei,fuck,skolebyrad,oooooh,grunnskolen,klasserom,elever,barnefattigdom,skoler,klasserommet,skolegarden,fagskolen,studentene,uff,lærerne,hahaha,fatah,whats,nff,skolene,yeah,dessverre,what,yes,skolefri,ungdommens,definitivt,nesa,skole,ooo,takke,antakeligvis,studentboliger,studenter,sørgelig,haha,forhapentligvis,virkelig,barnefamilier,ungdommene,trist,takknemlig
4;russerne,russernes,russisk,russiske,russetiden,rusavhengige,russetida,russlands,russen,russland,russere,russeren,russ,rus,ukrainas,ukraina,ukrainske,wikileaks,nordkoreas,rusk,sovjetunionen,jugoslavia,syriske,nordkorea,norskekysten,syrisk,hviterussland,nazistene,nordkoreanske,rusen,norwegian,sibirske,slovakia,korrupsjon,fuck,sannsynligvis,skandinavisk,nordkoreansk,nordjæren,takke,nordnorsk,skandinavia,antakeligvis,nordiske,diplomatiske,forhapentligvis,nisselov,erdogans,usannsynlig,takk
5;syriske,syrisk,erdogans,siri,erdogan,kurdiske,tyrkere,islamistiske,kurdisk,afghanske,irakiske,taliban,tyrkerne,migranter,migrantene,kurdernes,istanbul,tyrkiske,kurderne,gaddafi,flyktningene,tyrkisk,asylsøkere,sibirske,saudiarabias,afghanistan,muslimer,iranske,irans,borgerkrig,muslimske,saudiarabia,muslimsk,terrorisme,iransk,saudiske,terrorangrepene,islam,asylmottak,ukrainas,saudiarabiske,slovakia,libya,krigens,armene,iran,muslim,flyktningleir,kurdere,flyktninger
