Topic ID;Topic words
0;oooooh,hahaha,haha,ooo,uff,ooh,oh,mmm,hahe,nff,fhi,aha,hm,eh,huff,ah,beha,hekk,fuck,aaa,oi,hval,fatah,huk,whats,hehe,what,haba,kah,hugo,wow,takke,bukk,hey,fk,neppe,bue,heie,co,takknemlig,yeah,hi,hap,hu,nemnd,uskadd,takvam,yes,forhapentligvis,naf
1;regjeringsparti,oooooh,fuck,regjeringens,skattepolitikk,uff,hahaha,finansminister,nff,fatah,haha,mmm,justisminister,parlamentet,ooo,fylkespolitiker,fhi,parlament,huff,oh,regjerings,ooh,politikk,regjeringen,hm,storpolitikk,aha,politisk,kulturminister,takknemlig,beha,politiker,takke,whats,hahe,politisak,what,minister,parlamentarisk,eh,ah,hekk,politireforme,wow,fk,statsministeren,huk,bukk,neppe,kjempeartig
2;russernes,russisk,syrisk,ukrainas,russlands,sovjetisk,rusavhengig,ukraina,ukrainsk,russland,russetid,russ,erdogans,iraner,rus,irans,iransk,russer,wikileaks,erdogan,syrer,krigshandling,jugoslavia,sibirsk,slovakia,iran,flyktningkrise,siri,sovjetunionen,nordkoreas,fuck,sannsynligvis,forhapentligvis,tyrkisk,antakeligvis,borgerkrig,hviterussland,istanbul,whats,taliban,verdenskrig,nordkorea,irakisk,krigens,afghansk,afghanistan,what,takknemlig,rusk,pakistaner
3;cupfinale,attedelsfinale,fotballag,vmfinale,verdenscup,fotballvm,fotballkamp,fotballe,fotball,delfinale,finalist,fotballbane,takknemlig,oooooh,fotballklubb,kjempeartig,kvartfinale,handball,definitiv,kjempefornøyd,antakeligvis,fatah,fotballspiller,forhapentligvis,handballspiller,takke,hahaha,heldigvis,selvfølgelig,fatt,naturligvis,gullmedalje,fullstendig,yes,yeah,haha,ooo,nff,sannsynligvis,selvfølge,lykkelig,finale,uff,tydeligvis,nasjonalsang,absolutt,matchball,selvsagt,applaus,uskadd
4;fylkespolitiker,politiets,politireforme,tverrpolitisk,politidistrikt,storpolitikk,politisk,politistasjon,politikk,politisak,skattepolitikk,lokalpolitikk,politifolk,politimann,politikammer,politiker,politi,finanspolitisk,politidir,klimapolitikke,klimapolitikk,skolepolitikk,lokalpolitiker,helsepolitisk,politimester,fuck,polio,toppolitiker,politihus,arrestasjon,oooooh,wikileaks,dessverre,uff,takknemlig,takke,fatah,polsk,nff,hahaha,beklagelig,sikker,kjempeartig,oslopolitiet,ufarlig,korrupsjon,garantere,haha,whats,sørgelig
5;sørgelig,tragedie,dødsstraff,dødsfall,kvinner,trist,kvinners,tragisk,kvinnenes,fuck,dessverre,trafikkulykke,sørlig,livsfarlig,kvinnfolk,dødelig,beklagelig,kvinnens,dødens,døden,døde,skau,kvinne,sorry,uff,flyktningkrise,oooooh,massakre,kvinnelig,takke,morten,miserables,ulykkessted,katastrofal,skilsmisse,antakeligvis,uheldig,beklager,skam,what,takknemlig,nff,trondheim,kvinneklasse,forhapentligvis,whats,fatah,politiets,brutal,fullstendig
