Topic ID;Topic words
0;fuck,oooooh,uff,nff,skattepolitikk,fylkespolitiker,whats,mmm,what,fatah,ooo,oh,fhi,hm,aha,ooh,nesa,regjeringsparti,politikk,politireforme,hua,eh,ah,fk,hekk,wow,regjeringens,lokalpolitikk,co,nemnd,huk,politisak,politiets,ne,fsb,politidistrikt,ekse,takke,skau,yeah,bukk,kah,yes,politiker,storpolitikk,aaa,hehe,skit,khashoggi,oi
1;oooooh,uff,mmm,ooo,ooh,oh,fuck,fhi,nff,hm,whats,aha,eh,what,ah,hekk,hua,aaa,haba,huk,fk,hval,fatah,fsb,co,kah,hehe,wow,bukk,bue,nesa,naf,oi,yeah,hap,bo,nemnd,thats,bla,yes,fns,bekk,takke,ko,khashoggi,kua,hugo,ann,fn,hu
2;oooooh,mamma,mmm,emma,ooo,anne,oh,storesøster,hm,what,tete,whats,aha,uff,ooh,fhi,nff,ah,hua,aaa,eh,fuck,hekk,lillesøster,onkel,mors,oi,bestemor,nesa,co,mor,haba,kah,hehe,huk,hugo,mm,hval,fatah,fk,heie,khashoggi,hu,søster,familie,takke,amk,yeah,ekse,ann
3;russerne,russernes,ukrainas,ukraina,russlands,wikileaks,russland,erdogans,russetid,russere,russ,erdogan,russeren,rus,fuck,nordkoreas,jugoslavia,russer,krigshandling,whats,syrer,flyktningkrise,politikk,iraner,what,nordkorea,presidentvalg,irans,slovakia,sovjetunionen,fylkespolitiker,oooooh,siri,storpolitikk,politisak,hviterussland,borgerkrig,uff,sørkoreas,pakistaner,presidentens,politidistrikt,ambassade,mmm,co,verdenskrig,krigens,bekkjarvik,skattepolitikk,gaddafi
4;cupfinale,fotballkamp,fotballag,verdenscup,fotball,fotballe,attedelsfinale,handball,vmfinale,fotballvm,handballspiller,fotballklubb,fotballbane,fotballspiller,delfinale,finalist,kvartfinale,gullmedalje,matchball,yes,yeah,selvfølge,nesa,nemnd,ekse,semifinale,favoritte,argentina,whats,what,vintersport,fatah,takke,sportsrevyen,ne,selvmal,nasjonaldag,oooooh,sølvmedalje,nff,verdensmester,finale,nasjonalsang,hoff,ekstremsport,khashoggi,maraton,konkurranse,vinne,nationale
5;oooooh,fuck,uff,mmm,nff,fhi,whats,ooo,what,oh,hm,ooh,skolepolitikk,hua,fatah,aha,hekk,eh,ah,nesa,aaa,huk,yes,yeah,fk,kah,co,wow,haba,nemnd,fagskole,hehe,ekse,oi,ne,klasserom,skit,bukk,khashoggi,skolevei,fsb,hval,naf,folkehøyskole,hap,kua,ann,kai,ko,skolebenk
