Topic ID;Topic words
0;oooooh,hi,pappa,faren,ooo,hallo,fortelle,hei,ooh,fader,oi,aaa,hey,fortell,pappaen,pr,oh,hua,onkel,heie,haha,kyi,sundag,eh,ha,aha,ca,ola,ettermiddag,bukk,halla,gutta,dap,holme,pagikk,kj,holm,kors,mmm,hugo,dere,sjalottløk,vm,hm,mma,evne,nff,ake,hæ,skattesystemet
1;politiets,politiet,politimannen,politimann,politireformen,politifolk,trafikkulykke,tragedie,ettermiddag,tragedien,politikken,sikkerhetsradet,politidistrikt,lokalpolitiker,kriminalitet,arrestert,sikkerhetsrad,arrestere,fredagskveld,politikerne,finanspolitisk,politikeren,nyhetene,tverrpolitisk,mandagskveld,politikk,politikere,katastrofe,historiene,demonstranter,dødsstraffen,politisak,forbrytelser,kriminelle,nyheter,korrupsjon,nyheten,nistepakke,politiker,artikkelen,tragiske,politisk,demonstrantene,morgen,onsdag,dødsstraff,tragisk,ulykker,tonight,politiske
2;norwegian,norskekysten,nordfjord,nordnorske,nordnorsk,norske,norsk,nordiske,nordlandsbanen,nordligste,nordisk,nordpolen,nordavind,nordland,norfund,nordens,nordlig,nordnes,nordlige,nordmannen,nordmøre,nordvestlig,nordkapp,nordlending,nordsjøen,nordkoreanske,nordkoreansk,norden,nordover,nasjonaldag,nordstoga,nordpa,skandinavisk,nordvest,nordlys,cupfinalen,nord,cupfinale,nordmennene,nordmann,arktis,norgestaxi,hjeltefjorden,noregs,norges,flekkefjord,vestfjorden,skandinavia,oslofjorden,nordøst
3;fjellveggen,snøgrense,nordsjøen,sjalottløk,dovrefjell,fjellreven,nordfjord,verdenstoppen,nordlandsbanen,denne,fjellene,fjelltur,fjells,dette,skattesystemet,fjell,arktis,atlasfjellene,kjos,no,this,nistepakke,nesa,skogbrannfare,flekkefjord,nedpa,dit,oooooh,ne,bergen,co,nordpolen,bjørndalen,nordkapp,hverken,fjellet,slimsjøen,nei,ei,nedover,oslofjorden,alpinist,mos,bergens,strømsgodset,berget,nordlys,fjellheimen,ikke,skattesystem
4;politikerne,politikeren,politikere,regjeringsparti,politiker,politisak,parlament,parlamentet,politisk,politikk,politikken,parlamentariske,parlamentarisk,politiske,politidistrikt,norskekysten,presidentvalg,nordfjord,nordlandsbanen,norwegian,brexit,nordnorske,regjeringens,nordnorsk,politireformen,klimapolitikk,politikammer,valgkampen,presidentvalget,folkevalgte,demokratene,tverrpolitisk,klimapolitikken,regjeringen,nordligste,norske,norsk,nordpolen,demokratenes,nordiske,demokrati,demokrater,lokalpolitiker,norfund,finanspolitisk,nordland,nordavind,demokratiet,nordmannen,nordens
5;russerne,russernes,russiske,russisk,rusavhengige,russetiden,russetida,russlands,russen,russland,ukrainas,russere,ukraina,ukrainske,syriske,russeren,russ,syrisk,rus,sovjetunionen,nordkoreanske,wikileaks,norskekysten,nordkoreansk,norske,norsk,fredsavtalen,diplomatiske,norwegian,erdogans,jugoslavia,presidentvalg,sibirske,erdogan,fredsavtale,ambassaden,nordiske,slovakia,nazistene,verdenskrig,ambassade,nordnorsk,nordisk,hviterussland,nordnorske,presidentvalget,skandinavisk,nasjonaldag,borgerkrig,ettermiddag
6;ettermiddag,ettermiddagen,morgen,morgendagen,sundag,mandagskveld,onsdag,nasjonaldag,formiddag,morgon,fredagskveld,mandag,torsdag,lørdagsrevyen,sommardag,vardag,lørdag,pandamandag,tirsdag,skoledag,today,førkveld,søndag,julen,eilert,fredag,friday,morgendagens,søndagsrevyen,formiddagen,mandagen,bursdag,morning,rigget,sotra,julekalender,tonight,julenissen,takknemlig,sommerferien,dag,søndagsklær,dagens,søndagens,senkveld,jul,fredagen,middag,kveldsnytt,bursdagen
