Pipeline,LDA_coherence,LDA_diversity,Top2Vec_coherence,Top2Vec_diversity
basic,0.8063765108908946,0.3,0.56342573796709,1.0
lemmatized,0.7119670609789219,0.225,0.617827257827768,1.0
lem_tfidf,0.9089838561482907,0.5125,0.5233069825880765,0.9285714285714286
pos_only_noun,0.9511846454254476,0.375,-0.2516534998973897,0.65
pos_verb,0.9130887874749687,0.4,0.3361302405737795,0.9166666666666666
raw,0.44307863514096113,0.2125,0.2281998417258285,0.9444444444444444
unprocessed,0.4341482844933537,0.1625,0.08753851612359233,0.9571428571428572
